?????,?????
2018-10-26,55.262096
2018-10-27,55.668316
2018-10-28,48.600896
2018-10-29,24.679724
2018-10-30,36.864924
2018-10-31,31.66542
2018-11-01,14.170176
2018-11-02,30.644604
2018-11-03,14.840944
2018-11-04,54.270708
2018-11-05,56.294188
2018-11-06,55.778524
2018-11-07,42.089844
2018-11-08,54.725588
2018-11-09,50.789228
2018-11-10,28.154596
2018-11-11,44.378996
2018-11-12,46.493368
2018-11-13,36.576876
2018-11-14,52.42688
2018-11-15,48.570456
2018-11-16,40.898924
2018-11-17,42.015628
2018-11-18,38.322228
2018-11-19,51.06934
2018-11-20,46.042744
2018-11-21,38.303964
2018-11-22,52.345948
2018-11-23,36.20378
2018-11-24,25.941132
2018-11-25,47.339272
2018-11-26,37.52696
2018-11-27,50.905656
2018-11-28,49.357348
2018-11-29,50.510356
2018-11-30,51.341056
2018-12-01,51.91344
2018-12-02,48.229976
2018-12-03,45.758148
2018-12-04,48.532336
2018-12-05,39.336976
2018-12-06,43.148576
2018-12-07,48.986176
2018-12-08,49.428664
2018-12-09,49.544184
2018-12-10,50.519448
2018-12-11,49.028432
2018-12-12,50.908964
2018-12-13,50.58036
2018-12-14,49.577956
2018-12-15,49.09612
2018-12-16,49.050488
2018-12-17,50.209704
2018-12-18,50.379676
2018-12-19,50.18906
2018-12-20,49.300932
2018-12-21,49.865136
2018-12-22,49.882456
2018-12-23,48.657828
2018-12-24,47.1861
2018-12-25,48.375012
2018-12-26,52.416104
2018-12-27,42.994896
2018-12-28,48.467632
2018-12-29,48.93288
2018-12-30,48.460436
2018-12-31,21.923952
2019-01-01,47.175476
2019-01-02,41.3727
2019-01-03,29.792272
2019-01-04,47.446156
2019-01-05,54.244932
2019-01-06,46.92632
2019-01-07,28.509984
2019-01-08,29.876388
2019-01-09,38.705464
2019-01-10,48.682536
2019-01-11,49.221032
2019-01-12,54.527744
2019-01-13,52.719516
2019-01-14,42.861476
2019-01-15,32.730183
2019-01-16,49.417659
2019-01-17,48.841215
2019-01-18,29.738508
2019-01-19,53.249163
2019-01-20,54.809159
2019-01-21,58.017225
2019-01-22,58.345846
2019-01-23,55.091844
2019-01-24,49.400106
2019-01-25,52.292196
2019-01-26,29.139877
2019-01-27,45.759693
2019-01-28,51.03951
2019-01-29,20.980498
2019-01-30,37.57443
2019-01-31,59.165656
2019-02-01,56.838768
2019-02-02,55.486484
2019-02-03,18.836154
2019-02-04,46.329373
2019-02-05,53.946401
2019-02-06,63.248055
2019-02-07,63.393794
2019-02-08,52.717373
2019-02-09,38.147453
2019-02-10,50.401471
2019-02-11,11.487302
2019-02-12,0
2019-02-13,24.255496
2019-02-14,64.551314
2019-02-15,52.133148
2019-02-16,27.233722
2019-02-17,53.827228
2019-02-18,47.870892
2019-02-19,49.264683
2019-02-20,26.282073
2019-02-21,64.285196
2019-02-22,32.408569
2019-02-23,51.048717
2019-02-24,27.747454
2019-02-25,40.354894
2019-02-26,64.184496
2019-02-27,59.487769
2019-02-28,51.313433
2019-03-01,10.333281
2019-03-02,33.502305
2019-03-03,42.195675
2019-03-04,57.623978
2019-03-05,64.577411
2019-03-06,66.431468
2019-03-07,28.844821
2019-03-08,66.269095
2019-03-09,45.918703
2019-03-10,22.772657
2019-03-11,64.521975
2019-03-12,33.052315
2019-03-13,55.35022
2019-03-14,64.810243
2019-03-15,40.264836
2019-03-16,63.741791
2019-03-17,42.895222
2019-03-18,57.178822
2019-03-19,54.486622
2019-03-20,66.59486
2019-03-21,60.985914
2019-03-22,46.184808
2019-03-23,24.12102
2019-03-24,32.800154
2019-03-25,54.760331
2019-03-26,30.206415
2019-03-27,48.128966
2019-03-28,54.238562
2019-03-29,66.780516
2019-03-30,61.711437
2019-03-31,60.211473
2019-04-01,42.07418
2019-04-02,29.926396
2019-04-03,34.377957
2019-04-04,65.025183
2019-04-05,60.341083
2019-04-06,53.607613
2019-04-07,65.022255
2019-04-08,36.858112
2019-04-09,54.984065
2019-04-10,43.173133
2019-04-11,29.264289
